customer_id,total_purchase,frequency_purchase,client_category
CS1112,1012,15,2
CS1113,1490,20,2
CS1114,1432,19,2
CS1115,1659,22,3
CS1116,857,13,2
CS1117,1185,17,2
CS1118,1011,15,2
CS1119,1158,15,2
CS1120,1677,24,3
CS1121,1524,26,3
CS1122,1156,16,2
CS1123,1331,19,2
CS1124,1127,18,2
CS1125,885,12,2
CS1126,1165,19,2
CS1127,1676,24,3
CS1128,1921,26,3
CS1129,853,12,2
CS1130,1185,19,2
CS1131,998,14,2
CS1132,1074,16,2
CS1133,1413,19,2
CS1134,1166,16,2
CS1135,1267,20,2
CS1136,1339,20,2
CS1137,1380,20,2
CS1138,1863,24,3
CS1139,1245,18,2
CS1140,1434,20,2
CS1141,1778,25,3
CS1142,1847,22,3
CS1143,1255,16,2
CS1144,1222,18,2
CS1145,1967,27,3
CS1146,1117,16,2
CS1147,1004,15,2
CS1148,1733,25,3
CS1149,1768,25,3
CS1150,1075,14,2
CS1151,1040,16,2
CS1152,1457,20,2
CS1153,1274,18,2
CS1154,1436,23,2
CS1155,1317,19,2
CS1156,1445,20,2
CS1157,1427,21,2
CS1158,1159,18,2
CS1159,1439,22,2
CS1160,1380,20,2
CS1161,1389,22,2
CS1162,1815,24,3
CS1163,1290,18,2
CS1164,2037,26,3
CS1165,1335,20,2
CS1166,1507,19,2
CS1167,1132,16,2
CS1168,916,14,2
CS1169,1175,18,2
CS1170,1272,18,2
CS1171,1555,22,3
CS1172,1306,18,2
CS1173,1429,21,2
CS1174,1554,23,3
CS1175,1106,17,2
CS1176,1401,18,2
CS1177,1310,17,2
CS1178,1535,22,3
CS1179,2091,29,3
CS1180,1637,23,3
CS1181,1893,27,3
CS1182,1749,24,3
CS1183,1967,26,3
CS1184,1999,28,3
CS1185,1801,27,3
CS1186,1439,19,2
CS1187,1559,22,3
CS1188,1010,16,2
CS1189,1564,23,3
CS1190,1324,18,2
CS1191,1522,21,2
CS1192,1313,18,2
CS1193,953,15,2
CS1194,1505,22,2
CS1195,1378,20,2
CS1196,1559,23,3
CS1197,1180,17,2
CS1198,1571,22,3
CS1199,1344,20,2
CS1200,1667,21,2
CS1201,1375,19,2
CS1202,1331,20,2
CS1203,1536,21,2
CS1204,1023,17,2
CS1205,1103,17,2
CS1206,1514,24,2
CS1207,1310,18,2
CS1208,1000,15,2
CS1209,1809,27,3
CS1210,1546,21,2
CS1211,1218,18,2
CS1212,1200,17,2
CS1213,1191,18,2
CS1214,1289,19,2
CS1215,2362,35,3
CS1216,1798,24,3
CS1217,1431,20,2
CS1218,1687,24,3
CS1219,1447,21,2
CS1220,720,9,1
CS1221,1372,19,2
CS1222,1585,21,2
CS1223,1299,17,2
CS1224,578,8,1
CS1225,999,17,2
CS1226,1213,18,2
CS1227,1783,27,3
CS1228,1368,19,2
CS1229,1194,19,2
CS1230,1415,20,2
CS1231,1750,23,3
CS1232,1452,20,2
CS1233,1374,21,2
CS1234,1349,21,2
CS1235,1507,22,2
CS1236,1668,22,3
CS1237,1823,24,3
CS1238,1808,26,3
CS1239,771,11,1
CS1240,2126,30,3
CS1241,1818,27,3
CS1242,943,13,2
CS1243,1087,17,2
CS1244,1492,21,2
CS1245,1321,19,2
CS1246,1431,20,2
CS1247,1773,28,3
CS1248,1172,17,2
CS1249,1846,23,3
CS1250,1625,24,3
CS1251,1035,14,2
CS1252,1411,18,2
CS1253,1399,17,2
CS1254,1599,21,2
CS1255,1998,29,3
CS1256,1304,19,2
CS1257,1050,15,2
CS1258,1458,22,2
CS1259,1679,22,3
CS1260,1941,26,3
CS1261,1943,26,3
CS1262,1040,16,2
CS1263,1096,14,2
CS1264,959,12,2
CS1265,1128,14,2
CS1266,1076,15,2
CS1267,1812,26,3
CS1268,1946,27,3
CS1269,1272,19,2
CS1270,1990,27,3
CS1271,1683,25,3
CS1272,1279,19,2
CS1273,1800,25,3
CS1274,1381,20,2
CS1275,1321,18,2
CS1276,1505,21,2
CS1277,1142,17,2
CS1278,1572,22,3
CS1279,1411,21,2
CS1280,1262,21,2
CS1281,1715,23,3
CS1282,1014,15,2
CS1283,1683,22,3
CS1284,1836,24,3
CS1285,1778,24,3
CS1286,1511,21,2
CS1287,1440,20,2
CS1288,1125,17,2
CS1289,1355,19,2
CS1290,1625,20,2
CS1291,1006,15,2
CS1292,1307,18,2
CS1293,1625,21,2
CS1294,2129,30,3
CS1295,1487,22,2
CS1296,1505,21,2
CS1297,765,12,1
CS1298,1561,21,2
CS1299,1552,21,2
CS1300,1309,18,2
CS1301,1250,19,2
CS1302,1278,19,2
CS1303,1634,22,3
CS1304,874,15,2
CS1305,1031,16,2
CS1306,1153,15,2
CS1307,1220,18,2
CS1308,1487,21,2
CS1309,761,12,1
CS1310,1103,15,2
CS1311,1129,18,2
CS1312,1353,16,2
CS1313,2072,29,3
CS1314,891,13,2
CS1315,1030,15,2
CS1316,1726,26,3
CS1317,1146,16,2
CS1318,1693,22,3
CS1319,1161,18,2
CS1320,1382,18,2
CS1321,1668,21,2
CS1322,1964,26,3
CS1323,1595,23,3
CS1324,1611,24,3
CS1325,1209,18,2
CS1326,1940,27,3
CS1327,1525,23,3
CS1328,1043,15,2
CS1329,1158,17,2
CS1330,1750,23,3
CS1331,1170,15,2
CS1332,2010,29,3
CS1333,625,8,1
CS1334,1781,25,3
CS1335,1157,17,2
CS1336,1696,24,3
CS1337,1668,22,3
CS1338,1436,18,2
CS1339,1680,23,3
CS1340,1506,20,2
CS1341,1038,13,2
CS1342,1326,16,2
CS1343,1489,21,2
CS1344,1638,25,3
CS1345,1193,18,2
CS1346,1072,15,2
CS1347,2000,30,3
CS1348,1583,22,3
CS1349,1086,16,2
CS1350,1996,27,3
CS1351,1505,21,2
CS1352,1424,20,2
CS1353,1408,19,2
CS1354,1324,16,2
CS1355,1507,23,2
CS1356,1740,24,3
CS1357,1775,26,3
CS1358,1408,19,2
CS1359,1145,16,2
CS1360,1282,18,2
CS1361,1470,19,2
CS1362,1703,23,3
CS1363,1632,24,3
CS1364,1864,27,3
CS1365,1225,19,2
CS1366,1493,22,2
CS1367,2146,29,3
CS1368,960,15,2
CS1369,1746,25,3
CS1370,1864,26,3
CS1371,1496,22,2
CS1372,1412,19,2
CS1373,1967,30,3
CS1374,1357,19,2
CS1375,1165,17,2
CS1376,1512,25,2
CS1377,1505,18,2
CS1378,1671,25,3
CS1379,1134,15,2
CS1380,1857,26,3
CS1381,1449,22,2
CS1382,1845,25,3
CS1383,1878,25,3
CS1384,964,17,2
CS1385,1478,22,2
CS1386,998,14,2
CS1387,1238,18,2
CS1388,1275,19,2
CS1389,1189,18,2
CS1390,1210,19,2
CS1391,1584,25,3
